Page Name,Page Views,Onload (s),First Byte (s),Largest Contentful Paint (s),Interaction to Next Paint (s),Cumulative Layout Shift,LCP Time to First Byte (ms),LCP Resource Load Delay (ms),LCP Resource Load Time (ms),LCP Element Render Delay (ms),LCP Time to First Byte (%),LCP Resource Load Delay (%),LCP Resource Load Time (%),LCP Element Render Delay (%),INP Start (ms),INP Input Delay (ms),INP Next Paint Time (ms)
STATIC,30023,4.55,1.05,2.66,0.16,0.126,1300.0,208.0,455.0,823.0,59.0,11.0,22.0,39.0,21483.0,40.0,21822.0
STATIC,131323,1.98,0.535,3.12,0.135,0.69,263.0,80.0,144.0,1153.0,11.5,8.5,13.0,46.0,11215.0,16.0,11207.5
STATIC,148149,4.76,0.64,2.23,0.15,0.116,990.0,232.0,293.0,784.0,54.0,14.0,17.0,46.0,16833.0,40.0,16985.0
STATIC,63543,4.275,0.645,4.755,0.245,0.8705,352.0,1698.5,196.0,60.5,11.0,43.0,6.0,18.0,11586.0,44.0,11624.0
STATIC,87264,8.9,0.63,4.69,0.47,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,18092,3.78,0.87,2.28,0.2,0.152,1123.0,190.0,357.0,712.0,58.0,12.0,20.0,43.0,19383.0,69.0,19537.0
STATIC,197611,2.4699999999999998,0.5700000000000001,1.5150000000000001,0.13,0.199,258.5,73.0,144.0,288.0,22.0,7.0,12.0,24.5,12849.0,18.5,12909.5
STATIC,268369,4.535,0.525,1.88,0.07,0.084,342.0,44.0,165.0,468.5,22.0,3.0,10.5,28.5,13629.0,16.5,13688.5
STATIC,39792,5.91,0.8,2.66,0.19,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,116336,4.27,0.855,2.49,0.25,0.15400000000000003,560.0,85.5,179.5,424.0,28.0,5.5,10.0,22.5,17720.0,21.0,18293.0
STATIC,31021,5.05,0.68,4.7,0.26,0.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,36143,4.97,0.58,4.35,0.22,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIC,822891,3.62,0.6799999999999999,4.49,0.345,0.8325,356.0,1642.5,206.5,41.5,11.0,42.0,6.0,4.5,19761.5,34.5,19421.0
STATIC,31202,6.64,1.16,2.55,0.18,0.139,1213.0,211.0,507.0,759.0,57.0,12.0,26.0,39.0,20321.0,64.0,19775.0
STATIC,37093,5.59,1.01,2.6,0.22,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
