Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DNS (s),TCPCon (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift
2024-07-06 00:00,"4,122,254",5.42,6.31,2.58,5.22,2.97,3.17,0.86,0.00,0.00,3.91,0.00,0.00,0.00,"88,237",0.328,1.78,1.220
2024-07-07 00:00,"4,165,743",5.28,6.16,2.53,5.16,2.86,3.06,0.85,0.00,0.00,3.78,0.00,0.00,0.00,"84,622",0.328,1.78,1.222
2024-07-08 00:00,"3,484,732",5.39,6.25,2.72,5.44,2.96,3.16,0.90,0.00,0.00,3.84,0.00,0.00,0.00,"74,527",0.328,1.78,1.218
2024-07-09 00:00,"3,503,180",5.48,6.39,2.74,5.47,3.03,3.22,0.91,0.00,0.00,3.92,0.00,0.00,0.00,"71,993",0.336,1.81,1.208
2024-07-10 00:00,"4,081,351",5.54,6.49,2.64,5.33,3.07,3.25,0.87,0.00,0.00,4.04,0.00,0.00,0.00,"83,656",0.344,2.06,1.234
2024-07-11 00:00,"3,529,646",5.43,6.39,2.77,5.46,3.02,3.21,0.90,0.00,0.00,3.85,0.00,0.00,0.00,"77,532",0.336,1.81,1.216
2024-07-12 00:00,"3,776,071",5.47,6.41,2.67,5.37,3.04,3.22,0.87,0.00,0.00,3.92,0.00,0.00,0.00,"81,352",0.336,1.85,1.195
2024-07-13 00:00,"3,990,000",5.39,6.32,2.63,5.29,2.96,3.15,0.85,0.00,0.00,3.87,0.00,0.00,0.00,"83,711",0.328,1.82,1.191
2024-07-14 00:00,"4,495,080",5.42,6.40,2.54,5.18,2.94,3.12,0.83,0.00,0.00,3.95,0.00,0.00,0.00,"94,545",0.336,1.93,1.224
2024-07-15 00:00,"3,634,344",5.48,6.38,2.70,5.40,3.00,3.19,0.89,0.00,0.00,3.93,0.00,0.00,0.00,"77,058",0.336,1.89,1.218
2024-07-16 00:00,"3,738,850",5.60,6.18,2.60,5.11,2.83,3.02,0.89,0.00,0.00,4.22,0.00,0.00,0.00,"75,353",0.336,1.97,0.697
2024-07-17 00:00,"3,764,096",5.42,6.02,2.53,5.01,2.71,2.90,0.90,0.00,0.00,4.11,0.00,0.00,0.00,"78,811",0.328,1.95,0.543
2024-07-18 00:00,"3,747,152",5.44,6.08,2.55,5.04,2.73,2.93,0.90,0.00,0.00,4.10,0.00,0.00,0.00,"78,865",0.320,1.82,0.524
2024-07-19 00:00,"3,601,070",5.10,5.49,2.33,4.52,2.57,2.75,0.81,0.00,0.00,3.83,0.00,0.00,0.00,"79,199",0.288,1.59,0.458
2024-07-20 00:00,"4,360,557",5.48,6.00,2.42,4.80,2.67,2.86,0.85,0.00,0.00,4.18,0.00,0.00,0.00,"93,184",0.312,1.79,0.517
2024-07-21 00:00,"4,381,382",5.36,5.92,2.40,4.79,2.61,2.80,0.84,0.00,0.00,4.10,0.00,0.00,0.00,"97,250",0.312,1.81,0.522
2024-07-22 00:00,"3,846,110",5.53,5.99,2.50,4.96,2.68,2.87,0.88,0.00,0.00,4.22,0.00,0.00,0.00,"79,988",0.320,1.80,0.521
2024-07-23 00:00,"3,819,540",5.59,6.03,2.52,5.00,2.72,2.91,0.89,0.00,0.00,4.26,0.00,0.00,0.00,"79,716",0.312,1.81,0.524
2024-07-24 00:00,"4,229,324",5.66,6.15,2.47,4.65,2.77,2.96,0.86,0.00,0.00,4.35,0.00,0.00,0.00,"88,240",0.328,2.02,0.527
2024-07-25 00:00,"4,050,702",5.52,5.98,2.37,4.49,2.67,2.85,0.84,0.00,0.00,4.28,0.00,0.00,0.00,"84,109",0.320,1.99,0.540
2024-07-26 00:00,"3,944,090",5.59,5.96,2.48,4.61,2.68,2.87,0.88,0.00,0.00,4.32,0.00,0.00,0.00,"101,832",0.320,1.77,0.433
2024-07-27 00:00,"4,300,051",5.41,5.93,2.41,4.54,2.62,2.81,0.84,0.00,0.00,4.18,0.00,0.00,0.00,"112,260",0.312,1.77,0.384
2024-07-28 00:00,"4,719,071",5.29,5.87,2.35,4.44,2.57,2.76,0.81,0.00,0.00,4.08,0.00,0.00,0.00,"146,566",0.312,1.81,0.385
2024-07-29 00:00,"4,080,390",5.42,5.93,2.44,4.56,2.65,2.83,0.86,0.00,0.00,4.16,0.00,0.00,0.00,"147,206",0.312,1.81,0.444
2024-07-30 00:00,"4,065,835",5.42,5.92,2.41,4.58,2.64,2.83,0.85,0.00,0.00,4.16,0.00,0.00,0.00,"163,296",0.304,1.82,0.513
2024-07-31 00:00,"4,101,653",5.48,5.95,2.47,4.65,2.65,2.84,0.85,0.00,0.00,4.21,0.00,0.00,0.00,"172,281",0.312,1.80,0.529
