performance_score,Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DOM Duration (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift,fcp_category,interaction_lcp_tbt
42,2024-10-14 00:00,-0.8839429979209558,0.5119895793463956,-0.1431367980523114,1.2526034766875827,-0.6967852284182142,-0.06809724883227199,0.45177221104201803,1.7975624388399352,-0.7696405529219785,34879,-0.512458694265252,-1.3392586188953812,-0.9904021134246059,needs_improvement,4.2116999999999996
42,2024-10-15 00:00,-1.163071083295323,0.7609690658646227,0.29916396440950505,1.3042892571236218,-0.6307455062945021,0.3720545052094247,0.7932252399349019,0.3092178261003272,-0.7059965306966184,39858,-0.512458694265252,-1.3623384124030424,-0.9904021134246059,needs_improvement,4.2
42,2024-10-16 00:00,-0.6287066806214653,0.16964278538383276,0.10258584775980836,0.7874314527632432,-0.9169176354972521,0.04194068967815218,0.62249872548846,-0.22658623448593126,-1.183326697386819,59828,-0.29837978760115463,-1.2700192383723974,-0.9904021134246059,needs_improvement,4.2328
42,2024-10-17 00:00,-0.9444353685903628,0.9165812449385138,0.8397537851961719,1.872832841920037,-0.5426925434628865,0.8122062592511213,1.1773598974393955,-0.04798488095717822,-0.6423525084712582,53275,-0.29837978760115463,-1.2700192383723974,-0.9968733267860679,needs_improvement,4.4096
42,2024-10-18 00:00,-0.8768466507307094,0.8232139374941779,0.8397537851961719,1.3559750375596584,-0.7187984691261177,0.8672252285063322,1.2627231546626163,-0.04798488095717822,-0.7059965306966184,52102,-0.29837978760115463,-1.2238596513570748,-1.0162869668704535,needs_improvement,4.4096
42,2024-10-19 00:00,-0.683282721440057,0.7609690658646227,0.5940311393840478,1.4593465984317342,-0.6967852284182142,0.592130382230273,1.0066333829929535,-0.04798488095717822,-0.7696405529219785,58819,-0.29837978760115463,-1.2469394448647362,-1.014129895749966,needs_improvement,4.3785
42,2024-10-20 00:00,-0.42630743121929976,0.41862227190205975,0.20087490608465453,1.149231915815507,-0.7628249505419263,0.26201656669900053,0.7932252399349019,-0.10751866546676257,-1.0242166418234193,156862,-0.512458694265252,-1.2238596513570748,-1.014129895749966,needs_improvement,4.3884
42,2024-10-21 00:00,-1.2147931064678577,1.2589280389010766,0.9380428435210182,2.0278901832281493,-0.36658661779965546,0.9772631670167564,1.3480864118858373,0.07108268806198981,-0.4195984306824983,199405,-0.29837978760115463,-1.1777000643417523,-0.9882450423041187,needs_improvement,4.6656
41,2024-10-22 00:00,-1.2626234611193377,1.321172910530632,1.3311990768204114,2.2863190854083397,-0.3005468956759452,1.1423200747823938,1.4334496691090584,0.13061647257157416,-0.3877764195698175,199737,-0.29837978760115463,-1.0623010968034465,-0.9839309000631441,needs_improvement,4.915499999999999
42,2024-10-23 00:00,-1.1118229780178148,1.1344382956419632,0.9871873726834413,1.6660897201758855,-0.5426925434628865,0.757187289995908,1.1773598974393955,0.011548903552406125,-0.4195984306824983,217444,-0.29837978760115463,-1.039221303295785,-0.9904021134246059,needs_improvement,4.8336
